Command,Duration
LEFT,0.17
UP,0.32
LEFT,0.93
UP,0.19
LEFT,1.02
UP,0.15
RIGHT,0.78
UP,0.26
RIGHT,1.38
UP,0.40
RIGHT,0.72
UP,1.06
LEFT,1.18
UP,0.99
RIGHT,0.45
RIGHT,0.20
UP,1.45
UP,1.21
RIGHT,1.23
RIGHT,1.05
UP,1.21
RIGHT,0.92
RIGHT,0.82
DOWN,2.00
DOWN,0.55
RIGHT,1.72
RIGHT,0.83
UP,0.83
UP,0.39
RIGHT,0.97
UP,0.24
UP,0.62
LEFT,1.12
LEFT,0.41
LEFT,0.05
UP,0.14
RIGHT,0.40
RIGHT,0.14
UP,0.18
RIGHT,0.20
UP,0.19
UP,0.11
UP,0.08
DOWN,0.32
RIGHT,0.10
RIGHT,0.09
UP,0.24
SLIDERIGHT,1.82
DOWN,0.53
LEFT,0.19
DOWN,0.72
DOWN,1.51
LEFT,0.23
DOWN,0.70
SLIDERIGHT,1.12
DOWN,0.44
RIGHT,0.19
DOWN,0.23
LEFT,0.28
DOWN,0.17
LEFT,0.50
DOWN,0.22
RIGHT,1.02
DOWN,0.11
RIGHT,0.07
LEFT,0.31
UP,0.81
LEFT,0.46
UP,1.04
LEFT,2.42
UP,2.48
LEFT,0.79
RIGHT,0.22
LEFT,0.27
UP,1.73
LEFT,0.47
UP,0.67
LEFT,0.53
RIGHT,0.44
UP,0.62
SLIDERIGHT,0.80
UP,0.27
LEFT,1.23
UP,0.64
UP,0.25
RIGHT,0.22
RIGHT,1.46
RIGHT,0.08
UP,0.14
SLIDERIGHT,1.02
UP,0.10
RIGHT,0.12
UP,0.27
SLIDERIGHT,1.35
LEFT,0.70
UP,0.89
LEFT,0.91
LEFT,0.51
UP,2.14
LEFT,0.59
LEFT,0.02
UP,0.90
UP,0.67
LEFT,1.28
UP,0.36
LEFT,1.27
UP,0.16
UP,0.22
LEFT,1.20
LEFT,0.16
LEFT,0.27
DOWN,1.24
LEFT,0.21
DOWN,0.69
RIGHT,1.64
DOWN,0.43
RIGHT,0.12
SLIDERIGHT,1.40
UP,0.25
LEFT,0.58
RIGHT,0.25
DOWN,0.11
LEFT,0.45
UP,0.23
DOWN,0.15
RIGHT,0.18
SLIDERIGHT,2.04
UP,0.14
LEFT,0.21
DOWN,0.14
LEFT,0.11
UP,0.06
RIGHT,0.13
DOWN,0.11
RIGHT,0.10
SLIDERIGHT,1.86
LEFT,1.02
LEFT,0.48
DOWN,0.56
DOWN,1.09
LEFT,0.15
DOWN,0.92
DOWN,0.37
RIGHT,1.26
DOWN,0.64
LEFT,0.24
UP,0.17
LEFT,0.75
UP,0.24
LEFT,0.96

Total Commands,150
Total Duration,95.14 seconds
